38267,1,3.5
38286,1,0.155
38336,1,0.155
38434,1,0.155
38511,1,0.155
38596,1,0.155
38890,1,1.25
38973,1,0.035
39050,1,0.035
39148,1,0.12
39252,1,0.12
39343,1,0.12
39421,1,0.19
39511,1,0.19
39623,1,0.19
40073,1,0.1375
40163,1,0.1375
40261,1,0.1375
40339,1,0.1375
40448,1,0.1375
40528,1,0.09
40619,1,0.09
40709,1,0.09
40801,1,0.09
40884,1,0.09
40997,1,0.09
41086,1,0.03
41177,1,0.065
41247,1,0.065
44377,1,690
44459,1,140
44538,1,0.165
44629,1,8.6
44719,1,0.165
44812,1,0.165
44901,1,14.3
44992,1,0.165
45091,1,0.165
45176,1,0.165
45273,1,0.165
45370,1,0.165
38267,2,0.155
38286,2,0.155
38336,2,0.155
38434,2,0.155
38511,2,0.155
38596,2,0.155
38890,2,1.25
38973,2,0.065
39050,2,0.065
39148,2,0.085
39252,2,0.085
39343,2,0.085
39421,2,0.12
39511,2,0.12
39623,2,0.12
40073,2,0.129
40163,2,0.129
40261,2,0.129
40339,2,0.129
40448,2,0.129
40528,2,0.095
40619,2,0.095
40709,2,0.095
40801,2,0.095
40884,2,0.095
40997,2,0.095
41086,2,0.03
41177,2,0.06
41247,2,0.06
44377,2,104
44459,2,0.105
44538,2,0.105
44629,2,8.1
44719,2,0.105
44812,2,62.2
44901,2,72.9
44992,2,378
45091,2,0.105
45176,2,0.105
45273,2,0.105
45370,2,0.105
38267,3,0.155
38286,3,0.155
38336,3,0.155
38434,3,0.1
38511,3,0.1
38596,3,0.1
38890,3,1.25
38973,3,0.045
39050,3,0.045
39148,3,0.1
39252,3,0.1
39343,3,0.1
39421,3,0.185
39511,3,1.02
39623,3,0.185
40073,3,0.165
40163,3,0.165
40261,3,0.165
40339,3,0.165
40448,3,0.165
40528,3,0.065
40619,3,0.065
40709,3,0.065
40801,3,0.065
40884,3,0.065
40997,3,0.065
41086,3,0.035
41177,3,0.05
41247,3,0.075
44377,3,20800
44459,3,18800
44538,3,44400
44629,3,39300
44719,3,82600
44812,3,104000
44901,3,136000
44992,3,198000
45091,3,134000
45176,3,168000
45273,3,177000
45370,3,173000
38267,4,0.145
38286,4,0.145
38336,4,0.145
38434,4,0.05
38511,4,0.05
38596,4,0.05
38890,4,1.25
38973,4,0.035
39050,4,0.035
39148,4,0.18
39252,4,0.05
39343,4,0.05
39421,4,0.07
39511,4,0.07
39623,4,0.07
40073,4,0.098
40163,4,0.098
40261,4,0.098
40339,4,0.098
40448,4,0.098
40528,4,0.075
40619,4,0.075
40709,4,0.075
40801,4,0.075
40884,4,0.075
40997,4,0.075
41086,4,0.09
41177,4,0.075
41247,4,0.075
38511,5,0.16
44377,5,38.1
44459,5,0.085
44538,5,62.1
44629,5,50.9
44719,5,135
44812,5,191
44901,5,486
44992,5,837
45091,5,957
45176,5,1060
45273,5,952
45370,5,889
38267,6,0.43
38286,6,0.43
38336,6,0.43
38434,6,0.2
38511,6,0.2
38596,6,0.2
38890,6,1.25
38973,6,0.12
39050,6,0.12
39148,6,0.085
39252,6,0.085
39343,6,0.085
39421,6,0.15
39511,6,0.15
39623,6,0.15
40073,6,0.2035
40163,6,0.2035
40261,6,0.2035
40339,6,0.2035
40448,6,0.2035
40528,6,0.065
40619,6,0.065
40709,6,0.065
40801,6,0.065
40884,6,0.065
40997,6,0.065
41086,6,0.235
41177,6,0.205
41247,6,0.205
38267,7,0.145
38286,7,0.145
38336,7,0.145
38434,7,0.1
38511,7,0.1
38596,7,0.1
38890,7,1.25
38973,7,0.03
39050,7,0.03
39148,7,0.09
39252,7,0.09
39343,7,0.09
39421,7,0.125
39511,7,0.125
39623,7,0.125
40073,7,0.1055
40163,7,0.1055
40261,7,0.1055
40339,7,0.1055
40448,7,0.1055
40528,7,0.105
40619,7,0.105
40709,7,0.105
40801,7,0.105
40884,7,0.105
40997,7,0.105
41177,7,0.055
41247,7,0.115
45455,1,140
45455,2,15
45455,3,1500
45455,5,4040
