Row,TCE,PCE,"Cis-1,2-DCE",Toluene,VC,Xylenes,Ethylbenzene,Total Sum
Residuals,83040.8119577406,251316.350357038,627745.312402324,1147.01409971227,56740.0420978172,2019.90052566375,1725.06530927898,1023734.49674958
Weighted,616.019244373937,167.854715096949,581.277277670962,27.2165778947056,13078.5379038438,35.0230227552255,171.405203974936,14677.3339456105
Average,4884.75364457298,14783.3147268846,104624.218733721,191.169016618712,9456.67368296953,673.300175221251,287.51088487983,134900.940864868
Weighted Average,36.2364261396434,9.87380677040878,96.8795462784937,4.53609631578426,2179.7563173073,11.6743409184085,28.5675339958226,2367.52406772586
RMSE,4892.80739065378,15276.7269194035,104631.099795315,192.027604573263,9457.43453884586,673.792724700322,288.014490706064,135411.903464197
Weighted RMSE,60.9832181377507,18.3324843436449,109.934448711704,4.97053967619471,2617.41637318536,12.6724789516969,32.3770231922704,2856.68656619862
Phi Weighted,406972590.754616,3967432551.29047,65686002266.2624,221247.605508873,536658408.339327,1361989.90757725,497714.08114004,70599146768.241
Phi,63222.1992054202,5713.35969756975,72513.4980812775,148.237588035755,41105210.8237127,481.775168343604,6289.62978475687,41253579.5232381
