observation_name,parameter_name,n_samples,sen_mean,sen_mean_abs,sen_std_dev
mod_obs0_4,Pore Size Dist. Coeff. ,4,0.181709,0.181709,0.154177
mod_obs0_4,Vapor Pressure,4,-0.0155878,0.0155878,0.029845
mod_obs0_4,Soil Source Top Conc. ,4,3.6973,3.6973,1.46896
mod_obs0_4,Soil Source Bottom Conc. ,4,0.107027,0.107027,0.128922
mod_obs0_4,Min. Soil Moisture,4,-120.647,120.647,190.32
mod_obs0_4,q_{air} VIMS,4,0,0,0
mod_obs0_5,Total Porosity,4,-77293.3,77293.5,53559.9
mod_obs0_5,Min. Vapor Porosity,4,-4649.83,4652.29,9302.93
mod_obs0_5,FOC,4,-90005.8,90005.8,62507.5
mod_obs0_5,D_{air},4,490.096,490.096,562.409
mod_obs0_5,Pore Size Dist. Coeff. ,4,-0.540264,1.65011,2.67807
mod_obs0_5,Vapor Pressure,4,-0.0604668,0.0986341,0.175431
mod_obs0_5,Soil Source Top Conc. ,4,16.6889,16.6889,5.99489
mod_obs0_5,Soil Source Bottom Conc. ,4,0.495771,0.495771,0.592712
mod_obs0_5,Min. Soil Moisture,4,-967.112,972.128,1668.02
mod_obs0_5,q_{air} VIMS,4,0,0,0
mod_obs5_3,Total Porosity,4,-4.62E+06,4.62E+06,6.02E+06
mod_obs5_3,Min. Vapor Porosity,4,4.09E+06,4.09E+06,5.51E+06
mod_obs5_3,FOC,4,-2.98E+06,2.98E+06,5.07E+06
mod_obs5_3,D_{air},4,-9684.63,10044.2,19851.3
mod_obs5_3,Pore Size Dist. Coeff. ,4,-120.546,120.566,200.702
mod_obs5_3,Vapor Pressure,4,1.82834,1.83131,3.65545
mod_obs5_3,Soil Source Top Conc. ,4,93.7785,93.7785,108.241
mod_obs5_3,Soil Source Bottom Conc. ,4,0.526352,0.526352,1.02023
mod_obs5_3,Min. Soil Moisture,4,38.3408,445.537,714.184
mod_obs5_3,q_{air} VIMS,4,-4400.98,4400.98,8365.58
mod_obs0_6,Total Porosity,4,488.998,488.998,941.89
mod_obs0_6,Min. Vapor Porosity,4,2.02841,2.02841,3.30471
mod_obs0_6,FOC,4,-70.2974,70.2974,139.147
mod_obs0_6,D_{air},4,0.180384,0.180384,0.176224
mod_obs0_6,Pore Size Dist. Coeff. ,4,0.000242455,0.000242455,0.000285833
mod_obs0_6,Vapor Pressure,4,-2.25E-05,2.25E-05,4.49E-05
mod_obs0_6,Soil Source Top Conc. ,4,-1.77E-07,1.77E-07,2.07E-07
mod_obs0_6,Soil Source Bottom Conc. ,4,-2.33E-07,2.33E-07,2.72E-07
mod_obs0_6,Min. Soil Moisture,4,-0.997796,0.997796,1.93753
mod_obs0_6,q_{air} VIMS,4,0,0,0
mod_obs5_2,Total Porosity,4,-3.88E+07,3.88E+07,6.05E+07
mod_obs5_2,Min. Vapor Porosity,4,2.62E+07,2.68E+07,5.32E+07
mod_obs5_2,FOC,4,-1.86E+07,1.86E+07,3.18E+07
mod_obs5_2,D_{air},4,-66580.9,67669,134616
mod_obs5_2,Pore Size Dist. Coeff. ,4,-59.6519,70.5821,134.267
mod_obs5_2,Vapor Pressure,4,1.09692,1.11239,2.21448
mod_obs5_2,Soil Source Top Conc. ,4,378.645,378.645,436.989
mod_obs5_2,Soil Source Bottom Conc. ,4,1.92031,1.92031,3.72027
mod_obs5_2,Min. Soil Moisture,4,92.6656,160.822,280.126
mod_obs5_2,q_{air} VIMS,4,-17592.3,17592.3,33861.5
mod_obs0_7,Total Porosity,4,150.902,150.91,291.771
mod_obs0_7,Min. Vapor Porosity,4,0.51446,0.51446,0.83816
mod_obs0_7,FOC,4,-20.8284,20.8284,41.27
mod_obs0_7,D_{air},4,0.0399776,0.0399776,0.0390562
mod_obs0_7,Pore Size Dist. Coeff. ,4,5.37E-05,5.37E-05,6.33E-05
mod_obs0_7,Vapor Pressure,4,-4.98E-06,4.98E-06,9.94E-06
mod_obs0_7,Soil Source Top Conc. ,4,-3.92E-08,3.92E-08,4.58E-08
mod_obs0_7,Soil Source Bottom Conc. ,4,-5.17E-08,5.17E-08,6.03E-08
mod_obs0_7,Min. Soil Moisture,4,-0.221124,0.221124,0.429381
mod_obs0_7,q_{air} VIMS,4,0,0,0
mod_obs2_6,Total Porosity,4,-28121.1,33350.6,63406.6
mod_obs2_6,Min. Vapor Porosity,4,39152.6,39152.6,51685.7
mod_obs2_6,FOC,4,-34488.3,34488.3,68973.1
mod_obs2_6,D_{air},4,5.10463,5.10463,10.2054
mod_obs2_6,Pore Size Dist. Coeff. ,4,6.49E-06,6.49E-06,5.37E-06
mod_obs2_6,Vapor Pressure,4,-3.43E-07,3.43E-07,6.79E-07
mod_obs2_6,Soil Source Top Conc. ,4,-3.04E-09,3.04E-09,2.41E-09
mod_obs2_6,Soil Source Bottom Conc. ,4,-3.66E-09,3.66E-09,2.77E-09
mod_obs2_6,Min. Soil Moisture,4,-0.155644,0.155644,0.297178
mod_obs2_6,q_{air} VIMS,4,-0.0246036,0.0246036,0.0438146
mod_obs1_1,Total Porosity,4,-4.55E+06,4.55E+06,5.47E+06
mod_obs1_1,Min. Vapor Porosity,4,6.47E+06,6.51E+06,1.30E+07
mod_obs1_1,FOC,4,-1.68E+06,1.68E+06,1.94E+06
mod_obs1_1,D_{air},4,-20101.2,20381.1,40576.2
mod_obs1_1,Pore Size Dist. Coeff. ,4,-63.0038,63.0298,107.927
mod_obs1_1,Vapor Pressure,4,0.965335,0.969868,1.93476
mod_obs1_1,Soil Source Top Conc. ,4,138.818,138.818,160.187
mod_obs1_1,Soil Source Bottom Conc. ,4,0.553777,0.553777,1.06819
mod_obs1_1,Min. Soil Moisture,4,110.545,138.666,259.479
mod_obs1_1,q_{air} VIMS,4,-6411.9,6411.9,12426.2
mod_obs2_5,Total Porosity,4,-70667,96707.4,177757
mod_obs2_5,Min. Vapor Porosity,4,277833,277833,497789
mod_obs2_5,FOC,4,-186306,186306,357034
mod_obs2_5,D_{air},4,12689.8,12689.8,25105.7
mod_obs2_5,Pore Size Dist. Coeff. ,4,-90.2373,90.245,121.661
mod_obs2_5,Vapor Pressure,4,1.52429,1.52505,3.04119
mod_obs2_5,Soil Source Top Conc. ,4,4.11172,4.11172,4.92649
mod_obs2_5,Soil Source Bottom Conc. ,4,0.0803194,0.0803194,0.156432
mod_obs2_5,Min. Soil Moisture,4,-349.066,815.53,1384.27
mod_obs2_5,q_{air} VIMS,4,-291.793,291.793,329.825
mod_obs1_2,Total Porosity,4,-3.38E+07,3.38E+07,3.97E+07
mod_obs1_2,Min. Vapor Porosity,4,8.58E+07,8.62E+07,1.72E+08
mod_obs1_2,FOC,4,-1.41E+07,1.41E+07,1.66E+07
mod_obs1_2,D_{air},4,-58107.6,58820,117167
mod_obs1_2,Pore Size Dist. Coeff. ,4,-53.5181,55.1331,109.199
mod_obs1_2,Vapor Pressure,4,0.9127,0.927507,1.84518
mod_obs1_2,Soil Source Top Conc. ,4,386.218,386.218,445.666
mod_obs1_2,Soil Source Bottom Conc. ,4,1.51745,1.51745,2.92727
mod_obs1_2,Min. Soil Moisture,4,65.0252,148.368,249.206
mod_obs1_2,q_{air} VIMS,4,-17832.1,17832.1,34569.2
mod_obs2_4,Total Porosity,4,-135263,135263,159603
mod_obs2_4,Min. Vapor Porosity,4,176006,176573,352768
mod_obs2_4,FOC,4,-56048.7,56048.7,65507.7
mod_obs2_4,D_{air},4,-346.515,352.361,700.843
mod_obs2_4,Pore Size Dist. Coeff. ,4,-0.421698,0.444891,0.874583
mod_obs2_4,Vapor Pressure,4,0.0073576,0.00743531,0.0148189
mod_obs2_4,Soil Source Top Conc. ,4,2.00771,2.00771,2.31706
mod_obs2_4,Soil Source Bottom Conc. ,4,0.0101619,0.0101619,0.0196854
mod_obs2_4,Min. Soil Moisture,4,0.680843,1.08223,1.91257
mod_obs2_4,q_{air} VIMS,4,-93.2811,93.2811,179.544
mod_obs1_3,Total Porosity,4,-3.24E+06,3.24E+06,4.77E+06
mod_obs1_3,Min. Vapor Porosity,4,1.25E+06,1.25E+06,2.15E+06
mod_obs1_3,FOC,4,-2.77E+06,2.77E+06,4.69E+06
mod_obs1_3,D_{air},4,-9516.3,9749.04,19343.9
mod_obs1_3,Pore Size Dist. Coeff. ,4,-99.8383,99.8612,163.741
mod_obs1_3,Vapor Pressure,4,1.4907,1.49432,2.98116
mod_obs1_3,Soil Source Top Conc. ,4,96.2782,96.2782,111.103
mod_obs1_3,Soil Source Bottom Conc. ,4,0.396649,0.396649,0.764994
mod_obs1_3,Min. Soil Moisture,4,110.553,284.859,470.932
mod_obs1_3,q_{air} VIMS,4,-4463.23,4463.23,8610.53
mod_obs2_3,Total Porosity,4,-5.06E+06,5.06E+06,7.50E+06
mod_obs2_3,Min. Vapor Porosity,4,2.41E+06,2.41E+06,3.90E+06
mod_obs2_3,FOC,4,-3.27E+06,3.27E+06,5.66E+06
mod_obs2_3,D_{air},4,-9752.15,10092.5,19960.3
mod_obs2_3,Pore Size Dist. Coeff. ,4,-101.781,101.803,170.723
mod_obs2_3,Vapor Pressure,4,1.54877,1.55204,3.09783
mod_obs2_3,Soil Source Top Conc. ,4,94.3232,94.3232,108.862
mod_obs2_3,Soil Source Bottom Conc. ,4,0.502753,0.502753,0.973944
mod_obs2_3,Min. Soil Moisture,4,40.0383,368.661,587.129
mod_obs2_3,q_{air} VIMS,4,-4413.89,4413.89,8418.76
mod_obs1_4,Total Porosity,4,-117811,117811,136397
mod_obs1_4,Min. Vapor Porosity,4,132066,132066,263976
mod_obs1_4,FOC,4,-55854.9,55854.9,64484
mod_obs1_4,D_{air},4,-304.415,308.288,614.002
mod_obs1_4,Pore Size Dist. Coeff. ,4,-0.437807,0.438193,0.819933
mod_obs1_4,Vapor Pressure,4,0.0070844,0.00715523,0.0142634
mod_obs1_4,Soil Source Top Conc. ,4,2.04659,2.04659,2.36161
mod_obs1_4,Soil Source Bottom Conc. ,4,0.00807497,0.00807497,0.0155768
mod_obs1_4,Min. Soil Moisture,4,0.643503,1.095,1.91605
mod_obs1_4,q_{air} VIMS,4,-94.5041,94.5041,183.186
mod_obs2_2,Total Porosity,4,-4.62E+07,4.62E+07,5.57E+07
mod_obs2_2,Min. Vapor Porosity,4,9.60E+07,9.70E+07,1.93E+08
mod_obs2_2,FOC,4,-1.70E+07,1.70E+07,2.07E+07
mod_obs2_2,D_{air},4,-66037,67116.3,133516
mod_obs2_2,Pore Size Dist. Coeff. ,4,-49.3025,63.5157,118.307
mod_obs2_2,Vapor Pressure,4,0.945201,0.961341,1.91194
mod_obs2_2,Soil Source Top Conc. ,4,378.931,378.931,437.316
mod_obs2_2,Soil Source Bottom Conc. ,4,1.90825,1.90825,3.69664
mod_obs2_2,Min. Soil Moisture,4,70.6338,142.329,242.111
mod_obs2_2,q_{air} VIMS,4,-17602.8,17602.8,33886.8
mod_obs1_5,Total Porosity,4,-74059.5,74066,112426
mod_obs1_5,Min. Vapor Porosity,4,194054,194054,357213
mod_obs1_5,FOC,4,-133216,133216,258572
mod_obs1_5,D_{air},4,8255.11,8255.11,16316.6
mod_obs1_5,Pore Size Dist. Coeff. ,4,-94.635,94.6429,126.938
mod_obs1_5,Vapor Pressure,4,1.55945,1.56021,3.1103
mod_obs1_5,Soil Source Top Conc. ,4,4.34191,4.34191,5.18029
mod_obs1_5,Soil Source Bottom Conc. ,4,0.055216,0.055216,0.107112
mod_obs1_5,Min. Soil Moisture,4,2.22486,472.372,765.112
mod_obs1_5,q_{air} VIMS,4,-244.438,244.438,360.424
mod_obs2_1,Total Porosity,4,-5.07E+06,5.07E+06,6.25E+06
mod_obs2_1,Min. Vapor Porosity,4,6.64E+06,6.76E+06,1.34E+07
mod_obs2_1,FOC,4,-1.93E+06,1.93E+06,2.43E+06
mod_obs2_1,D_{air},4,-23012.1,23430.7,46583.7
mod_obs2_1,Pore Size Dist. Coeff. ,4,-62.8314,62.8538,112.902
mod_obs2_1,Vapor Pressure,4,0.999217,1.00312,2.00311
mod_obs2_1,Soil Source Top Conc. ,4,136.136,136.136,157.113
mod_obs2_1,Soil Source Bottom Conc. ,4,0.698158,0.698158,1.35246
mod_obs2_1,Min. Soil Moisture,4,116.069,138.901,263.114
mod_obs2_1,q_{air} VIMS,4,-6327.38,6327.38,12175
mod_obs1_6,Total Porosity,4,-25210.1,30842.1,58170.9
mod_obs1_6,Min. Vapor Porosity,4,15611.7,15611.7,19599.3
mod_obs1_6,FOC,4,-27711.5,27711.5,55421.8
mod_obs1_6,D_{air},4,3.30457,3.30457,6.60641
mod_obs1_6,Pore Size Dist. Coeff. ,4,3.78E-06,3.78E-06,2.73E-06
mod_obs1_6,Vapor Pressure,4,-2.67E-07,2.67E-07,5.30E-07
mod_obs1_6,Soil Source Top Conc. ,4,-2.14E-09,2.14E-09,2.00E-09
mod_obs1_6,Soil Source Bottom Conc. ,4,-2.56E-09,2.56E-09,2.34E-09
mod_obs1_6,Min. Soil Moisture,4,-0.0790916,0.0790916,0.146144
