Row,TCE,PCE,"Cis-1,2-DCE",Toluene,VC,Xylenes,Ethylbenzene,Total
Residuals,-51202.965,-231310.77,-10523380.984,-11000138.6112046,-10975177.9047,-13999256.1915987,-10999885.8039392,-57780353.2304426
Weighted,-51202.965,-228018.048253168,478331.451163019,112.93850738135,23461.4015661697,860.323873981761,141.14718070136,223686.249038085
Weighted Average,-3011.93911764706,-13412.8263678334,28137.1441860599,6.64344161066767,1380.0824450688,50.6072867048095,8.30277533537411,1879.7163784713
RMSE,12975.9147323389,49672.8974267171,812498.643949664,804398.857326014,804339.103115184,907484.288860073,804398.858004801,699734.030009851
Weighted RMSE,12975.9147323389,49666.4748682919,116013.278202416,28.6090616606332,5670.83345332079,209.143843168231,49.2707483882199,47997.6474833363
Phi Weighted,2862364173.39581,41934898339.3255,228804372227.611,13914.1329547325,546691984.940137,743599.501298018,41269.3129944997,274149125508.219
Phi,2862364173.39581,41945744559.0077,11222618789140.7,10999977868345.7,10998343677602.4,13999971486973.8,10999977886910.3,58265697817705.4
