name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
por,0.38,0.0225,0.335,0.425,0.38088,0.0214194,0.338041,0.423719
por_v_min,0.12,0.04225,0.0355,0.2045,0.11105,0.0404937,0.0300621,0.192037
blahblah,0.015,0.124997,-0.234995,0.264995,0.0149972,0.00373911,0.00751899,0.0224754
airdiff,0.093,0.024975,0.04305,0.14295,0.1,0.0242593,0.0514813,0.148519
brooks,1.2,0.725,-0.25,2.65,0.176146,0.0911547,-0.00616333,0.358455
p_air,12,3,6,18,9.48367,2.99474,3.49419,15.4732
conc_s_top,20,45,-69.9999,110,9.57244,3.54146,2.48951,16.6554
conc_s_bot,8,45,-81.9999,97.9999,51.6284,25.7468,0.134815,103.122
theta_min,0.12,0.0375,0.045,0.195,0.0824584,0.0373749,0.00770853,0.157208
q_air_slab,-7,5.75,-18.5,4.5,-20.6409,5.7493,-32.1395,-9.14229
q_air_vims,-2,1.25,-4.5,0.5,-2.08477,0.172704,-2.43018,-1.73936
