name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
por,0.38,0.0225,0.335,0.425,0.38035,0.0221291,0.336092,0.424608
por_v_min,0.12,0.04225,0.0355,0.2045,0.0134062,0.0407083,-0.0680103,0.0948228
blahblah,0.015,0.124997,-0.234995,0.264995,0.0149973,0.00315501,0.00868724,0.0213073
airdiff,0.093,0.024975,0.04305,0.14295,0.1,0.0229028,0.0541943,0.145806
brooks,1.2,0.725,-0.25,2.65,0.826409,0.517966,-0.209523,1.86234
p_air,12,3,6,18,11.8308,2.85387,6.12302,17.5385
conc_s_top,20,45,-69.9999,110,16.4054,4.18064,8.04416,24.7667
conc_s_bot,8,45,-81.9999,97.9999,10.3433,7.04396,-3.74459,24.4313
theta_min,0.12,0.0375,0.045,0.195,0.134761,0.0290558,0.0766498,0.192873
q_air_slab,-7,5.75,-18.5,4.5,-21,5.74987,-32.4997,-9.50026
q_air_vims,-2,1.25,-4.5,0.5,-2.08304,0.111322,-2.30568,-1.86039
