name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
por,0.38,0.0225,0.335,0.425,0.38108,0.0214886,0.338103,0.424057
por_v_min,0.12,0.04225,0.0355,0.2045,0.110771,0.0406906,0.02939,0.192153
blahblah,0.015,0.124997,-0.234995,0.264995,0.0149972,0.00365388,0.00768943,0.0223049
airdiff,0.093,0.024975,0.04305,0.14295,0.1,0.0244076,0.0511849,0.148815
brooks,1.2,0.725,-0.25,2.65,0.163726,0.0814346,0.000856969,0.326595
p_air,12,3,6,18,8.39975,2.99503,2.40969,14.3898
conc_s_top,20,45,-69.9999,110,9.41136,3.27979,2.85178,15.9709
conc_s_bot,8,45,-81.9999,97.9999,57.0519,23.266,10.52,103.584
theta_min,0.12,0.0375,0.045,0.195,0.0812054,0.0373997,0.00640606,0.156005
q_air_slab,-7,5.75,-18.5,4.5,-20.9545,5.74935,-32.4532,-9.45578
q_air_vims,-2,1.25,-4.5,0.5,-2.08493,0.153641,-2.39222,-1.77765
