name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
por,0.38,0.0225,0.335,0.425,0.3802,0.0223815,0.335437,0.424963
por_v_min,0.12,0.04225,0.0355,0.2045,0.112046,0.0417448,0.0285567,0.195536
blahblah,0.015,0.124997,-0.234995,0.264995,0.0149973,0.00135685,0.0122836,0.017711
airdiff,0.093,0.024975,0.04305,0.14295,0.1,0.0231429,0.0537141,0.146286
brooks,1.2,0.725,-0.25,2.65,0.1,0.0983711,-0.0967422,0.296742
p_air,12,3,6,18,11.396,2.99961,5.39677,17.3952
conc_s_top,20,45,-69.9999,110,11.3415,1.09609,9.1493,13.5336
conc_s_bot,8,45,-81.9999,97.9999,29.3938,7.03739,15.319,43.4686
theta_min,0.12,0.0375,0.045,0.195,0.135086,0.0374568,0.0601723,0.21
q_air_slab,-7,5.75,-18.5,4.5,-20.6719,5.74992,-32.1717,-9.17204
q_air_vims,-2,1.25,-4.5,0.5,-2.08387,0.0395884,-2.16305,-2.00469
