name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
por,0.38,0.0225,0.335,0.425,0.38,0.0223974,0.335205,0.424795
por_v_min,0.12,0.04225,0.0355,0.2045,0.12,0.0411342,0.0377315,0.202268
blahblah,0.015,0.124997,-0.234995,0.264995,0.015,0.00342629,0.00814741,0.0218526
airdiff,0.093,0.024975,0.04305,0.14295,0.093,0.0228164,0.0473672,0.138633
brooks,1.2,0.725,-0.25,2.65,1.2,0.689537,-0.179075,2.57907
p_air,12,3,6,18,12,2.96799,6.06402,17.936
conc_s_top,20,45,-69.9999,110,20,5.4438,9.11241,30.8876
conc_s_bot,8,45,-81.9999,97.9999,8,9.19344,-10.3869,26.3869
theta_min,0.12,0.0375,0.045,0.195,0.12,0.0320813,0.0558374,0.184163
q_air_slab,-7,5.75,-18.5,4.5,-7,5.74962,-18.4992,4.49924
q_air_vims,-2,1.25,-4.5,0.5,-2,0.128755,-2.25751,-1.74249
