name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
por,0.38,0.0225,0.335,0.425,0.3802,0.0219876,0.336225,0.424175
por_v_min,0.12,0.04225,0.0355,0.2045,0.1121,0.0395724,0.0329552,0.191245
blahblah,0.015,0.124997,-0.234995,0.264995,0.0149973,0.00224866,0.0105,0.0194946
airdiff,0.093,0.024975,0.04305,0.14295,0.1,0.0231368,0.0537264,0.146274
brooks,1.2,0.725,-0.25,2.65,0.208243,0.111479,-0.0147154,0.431201
p_air,12,3,6,18,11.396,2.99358,5.40883,17.3831
conc_s_top,20,45,-69.9999,110,10.7068,1.6827,7.34144,14.0722
conc_s_bot,8,45,-81.9999,97.9999,29.3902,8.03999,13.3102,45.4702
theta_min,0.12,0.0375,0.045,0.195,0.0945794,0.0372856,0.0200082,0.169151
q_air_slab,-7,5.75,-18.5,4.5,-20.6719,5.74977,-32.1714,-9.17233
q_air_vims,-2,1.25,-4.5,0.5,-2.08387,0.0653548,-2.21458,-1.95316
