name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
por,0.38,0.0225,0.335,0.425,0.37596,0.022375,0.33121,0.42071
por_v_min,0.12,0.04225,0.0355,0.2045,0.0557118,0.0408261,-0.0259403,0.137364
blahblah,0.015,0.124997,-0.234995,0.264995,0.0149994,0.00364279,0.00771377,0.0222849
airdiff,0.093,0.024975,0.04305,0.14295,0.1,0.0230889,0.0538222,0.146178
brooks,1.2,0.725,-0.25,2.65,1.13114,0.593608,-0.0560781,2.31835
p_air,12,3,6,18,12.0007,2.876,6.24869,17.7527
conc_s_top,20,45,-69.9999,110,19.0152,5.40993,8.19532,29.8351
conc_s_bot,8,45,-81.9999,97.9999,8.04597,8.98918,-9.9324,26.0243
theta_min,0.12,0.0375,0.045,0.195,0.126111,0.0315146,0.0630822,0.18914
q_air_slab,-7,5.75,-18.5,4.5,-6.9914,5.7495,-18.4904,4.5076
q_air_vims,-2,1.25,-4.5,0.5,-2.02689,0.126211,-2.27932,-1.77447
