name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
por,0.38,0.0225,0.335,0.425,0.38053,0.021874,0.336782,0.424278
por_v_min,0.12,0.04225,0.0355,0.2045,0.111476,0.0400762,0.0313239,0.191629
blahblah,0.015,0.124997,-0.234995,0.264995,0.0149973,0.0035793,0.00783865,0.0221559
airdiff,0.093,0.024975,0.04305,0.14295,0.1,0.0238618,0.0522764,0.147724
brooks,1.2,0.725,-0.25,2.65,0.19081,0.10583,-0.0208507,0.40247
p_air,12,3,6,18,10.5292,2.99375,4.54168,16.5167
conc_s_top,20,45,-69.9999,110,9.99224,3.38737,3.21749,16.767
conc_s_bot,8,45,-81.9999,97.9999,42.384,23.2383,-4.09257,88.8605
theta_min,0.12,0.0375,0.045,0.195,0.0869777,0.0373382,0.0123012,0.161654
q_air_slab,-7,5.75,-18.5,4.5,-21,5.74954,-32.4991,-9.50092
q_air_vims,-2,1.25,-4.5,0.5,-2.0844,0.162814,-2.41003,-1.75877
